"","mn_amt"
"204",0.02678696875
"205",0.026172875
"206",0.03350784375
"207",0.03417321875
"208",0.02856403125
"209",0.02964146875
"210",0.0336737741935484
"211",0.0303534516129032
"212",0.0284710967741935
"213",0.0300916333333333
"214",0.0335777666666667
"215",0.0403597333333333
"216",0.0306470333333333
"217",0.0227701666666667
"218",0.0197542258064516
"219",0.0204677096774194
"220",0.0212285483870968
"221",0.0217298387096774
"222",0.0277974516129032
"223",0.0257693548387097
"224",0.0210842666666667
"225",0.0234931
"226",0.0338055666666667
"227",0.0352652333333333
"228",0.031918
"229",0.0355472
"230",0.0320977
"231",0.0297164838709677
"232",0.0271008387096774
"233",0.0301053548387097
"234",0.0262666666666667
"235",0.0237361
"236",0.0338002
"237",0.032085935483871
"238",0.0247977419354839
"239",0.0177511290322581
"240",0.0189946129032258
"241",0.0311573225806452
"242",0.0346425806451613
"243",0.0347036774193548
"244",0.0316395161290323
"245",0.0356723870967742
"246",0.0335378064516129
"247",0.0276546451612903
"248",0.0275766451612903
"249",0.0324388709677419
"250",0.0405791935483871
"251",0.0372836875
"252",0.0287516875
"253",0.01924340625
"254",0.02385709375
"255",0.02335159375
"256",0.0204314193548387
"257",0.02283740625
"258",0.03307590625
"259",0.03511590625
"260",0.04005975
"261",0.0422669375
"262",0.03657415625
"263",0.021421875
"264",0.02111196875
"265",0.0222721875
"266",0.02540021875
"267",0.027673625
"268",0.022209625
"269",0.0230650625
"270",0.026160125
"271",0.02174225
"272",0.02135371875
"273",0.0192781612903226
"274",0.0178309375
"275",0.0184908125
"276",0.0170936875
"277",0.02168228125
"278",0.0175994375
"279",0.01707071875
"280",0.01840515625
"281",0.019683
"282",0.02250603125
"283",0.0196614375
"284",0.028476
"285",0.0339193548387097
"286",0.02238859375
"287",0.0169594375
"288",0.02416153125
"289",0.02400953125
"290",0.02111103125
"291",0.02260025
"292",0.02509671875
"293",0.0290704375
"294",0.0243689375
"295",0.030310125
"296",0.02541928125
"297",0.02223703125
"298",0.02053909375
"299",0.014405
"300",0.01579559375
"301",0.02333421875
"302",0.024817
"303",0.02113528125
"304",0.0187635806451613
"305",0.0237600689655172
"306",0.0159744137931034
"307",0.0189786785714286
"308",0.0219767857142857
"309",0.0215328518518519
"310",0.0222498518518519
"311",0.0244383846153846
"312",0.0206794230769231
"313",0.0163297777777778
"314",0.0194051481481481
"315",0.0214536666666667
"316",0.020949
"317",0.0235811851851852
"318",0.0259838846153846
"319",0.0226183703703704
"320",0.0222381111111111
"321",0.0182695925925926
"322",0.0255465555555556
"323",0.0297213333333333
"324",0.0258456923076923
"325",0.0260873846153846
"326",0.0289487307692308
"327",0.0267283076923077
"328",0.0178425
"329",0.0187382222222222
"330",0.0245076538461538
"331",0.0248150384615385
"332",0.017968
"333",0.0254348846153846
"334",0.0208740769230769
"335",0.0186165384615385
"336",0.00884523076923077
"337",0.01955552
"338",0.01879224
"339",0.0153933461538462
"340",0.0112209230769231
"341",0.0147676923076923
"342",0.0168068461538462
"343",0.0183731538461538
"344",0.0193189230769231
"345",0.0186104230769231
"346",0.0127725
"347",0.0141763076923077
"348",0.0195913076923077
"349",0.0188028461538462
"350",0.0164993846153846
"351",0.0157046538461538
"352",0.0216804230769231
"353",0.02788608
"354",0.02548972
"355",0.0224534230769231
"356",0.0144241153846154
"357",0.0145226153846154
"358",0.0192307307692308
"359",0.0171554230769231
"360",0.0234711538461538
"361",0.0187949230769231
"362",0.027695
"363",0.0216239615384615
"364",0.01208168
"365",0.01998528
"366",0.0288905833333333
"367",0.0255276666666667
"368",0.0246275833333333
"369",0.0271401304347826
"370",0.021119652173913
"371",0.0152301739130435
"372",0.0117365217391304
"373",0.020349652173913
"374",0.0254272272727273
"375",0.0295329523809524
"376",0.0281551363636364
"377",0.0238270454545455
"378",0.029292
"379",0.0188840833333333
"380",0.0180824782608696
"381",0.0247552173913043
"382",0.0283803913043478
"383",0.0295960869565217
"384",0.031495375
"385",0.029209875
"386",0.0305485833333333
"387",0.03192616
"388",0.03210496
"389",0.02864828
"390",0.02269496
"391",0.02187
"392",0.022541
"393",0.02040492
"394",0.02165604
"395",0.02544716
"396",0.0284006923076923
"397",0.0281154230769231
"398",0.0256877692307692
"399",0.0284137692307692
"400",0.0275983076923077
"401",0.0314070384615385
"402",0.02504676
"403",0.02642176
"404",0.03343504
"405",0.0246868461538462
"406",0.0228304615384615
"407",0.0340731538461538
"408",0.0317835769230769
"409",0.0297103846153846
"410",0.0245324
"411",0.0221215384615385
"412",0.0283567692307692
"413",0.0281250384615385
"414",0.0316111923076923
"415",0.0298642692307692
"416",0.0331986538461538
"417",0.0261361153846154
"418",0.0288771538461538
"419",0.02899152
"420",0.02681444
"421",0.025805125
"422",0.03592416
"423",0.03284676
"424",0.03728176
"425",0.0340239259259259
"426",0.03421176
"427",0.03324832
"428",0.03166896
"429",0.0303381153846154
"430",0.0313936538461538
"431",0.0308578846153846
"432",0.0249863461538462
"433",0.02655304
"434",0.03715048
"435",0.0284867692307692
"436",0.025720962962963
"437",0.0282603333333333
"438",0.0334105185185185
"439",0.0352175925925926
"440",0.0256955714285714
"441",0.0268051111111111
"442",0.0308981851851852
"443",0.0309094285714286
"444",0.0354503928571429
"445",0.0347133928571429
"446",0.035743
"447",0.0369540769230769
"448",0.0343957857142857
"449",0.0370296785714286
"450",0.0319674642857143
"451",0.0335273793103448
"452",0.036050275862069
"453",0.0353008965517241
"454",0.0405544827586207
"455",0.0396217931034483
"456",0.04187684375
"457",0.03240365625
"458",0.0340115806451613
"459",0.0369162580645161
"460",0.0328974375
"461",0.0369486875
"462",0.0378394375
"463",0.03492453125
"464",0.034268875
